name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_gen,mhz
Patriot Viper Venom RGB 32 GB,84.99,"2,16",2.656,Black / White,12.0,36.0,5,6000
Timetec PINNACLE Konduit 16 GB,33.99,"2,8",2.124,White,10.0,18.0,4,3600
Patriot Viper 4 Blackout 64 GB,1203.86,"2,32",18.81,Black,10.667,16.0,4,3000
Crucial CT64G4YFQ426S 64 GB,649.95,"1,64",10.155,Green / Black,14.254,19.0,4,2666
G.Skill Ripjaws S5 64 GB,192.99,"2,32",3.015,Black,10.0,30.0,5,6000
Corsair Vengeance RGB 32 GB,121.99,"2,16",3.812,Black / Gray,14.286,40.0,5,5600
Crucial Ballistix 16 GB,,"2,8",,Black,10.0,16.0,4,3200
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"2,16",2.812,White,12.5,40.0,5,6400
Crucial CT64G56C46U5 64 GB,156.99,"1,64",2.453,Black,16.429,46.0,5,5600
TEAMGROUP T-Force DELTAα RGB 16 GB,69.99,"2,8",4.374,White,12.667,38.0,5,6000
G.Skill Ripjaws V 32 GB,99.99,"2,16",3.125,Black,9.0,18.0,4,4000
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"2,32",2.89,Black,12.667,38.0,5,6000
Klevv KD5AGU880-56K300F 32 GB,80.98,"2,16",2.531,White,10.714,30.0,5,5600
Crucial CT8G48C40U5 8 GB,24.98,"1,8",3.123,Black,16.667,40.0,5,4800
Acer Predator Vesta II RGB 32 GB,143.8,"2,16",4.494,Black,10.0,30.0,5,6000
Silicon Power XPOWER Zenith RGB Gaming 32 GB,67.99,"2,16",2.125,Black,10.0,18.0,4,3600
