name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX X670E-A GAMING WIFI,264.99,AM5,ATX,192,4,Silver / Black
ASRock B850 Pro RS WiFi,189.99,AM5,ATX,256,4,Silver / Black
MSI MPG Z790 EDGE WIFI,209.0,LGA1700,ATX,192,4,Silver / Black
Gigabyte B650M GAMING X AX,,AM5,Micro ATX,192,4,Black
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),227.26,AM4,ATX,64,4,Black / Silver
Gigabyte B550M DS3H R2,,AM4,Micro ATX,128,4,Black
Gigabyte B850M AORUS ELITE WIFI6E,307.15,AM5,Micro ATX,256,4,Black
ASRock B450 Pro4 R2.0,129.91,AM4,ATX,128,4,Black
Asus PRIME B660-PLUS D4,179.99,LGA1700,ATX,128,4,Silver / Black
MSI MEG Z890 GODLIKE,1081.99,LGA1851,EATX,256,4,Black
Biostar B450MHP,,AM4,Micro ATX,64,2,Black / Silver
ASRock B550M Pro RS,,AM4,Micro ATX,128,4,White
